ID,Ring Description,Diamonds shape,Diamond Weights in Carats,Diamond Avg Color,Diamond Avg Clarity,Gems shape if any,Gem Type,Gem Average Clarity,Ring Gross Weight in Grams,Overall Condition,Ring Price,Ring Size
1.0,"['Art Deco Natural Fancy Blue Diamond', ' Diamond', ' Platinum ']","[' Marquise-shaped, Baguette-cut, Full-cut, Single-cut']",[3.5 0.2 0.1], G-H-I, VS,[],[],,3.75, Very Good,165050000.0,5.0
2.0,"['Fancy Vivid Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Trapezoid Brilliant-cut', ' Cut Cornered Rectangular Modified Brilliant']",[25.23  2.5 ], G-H-I, SI,[],[],,15.6, Very Good,97500000.0,5.0
3.0,"['Fancy Light Pink Diamond', ' Colored Diamond', ' Diamond', ' Rose Gold ']","[' Full', ' Cushion']",[10.02  3.  ], G-H-I, SI,[],[],,17.2, Very Good,79500000.0,6.0
4.0,"['Fancy Blue Diamond', ' Diamond', ' Platinum ']","[' Round Brilliant', ' Cushion']",[], J-K-L, SI,[],[],,8.1, Very Good,67500080.0,6.0
5.0,"['Kashmir Sapphire', ' Diamond', ' Platinum ']",[' Baguette-cut'],[11.72  0.9 ], G-H-I, VS,[' Cushion'],"[' Sapphire', ' Sapphire']",,13.8, Very Good,67000000.0,7.0
6.0,"['Fancy Light Pink Diamond', ' Diamond', ' Pink Gold ']",[' Heart-shaped'],[5.07 1.3 ], D-E-F, IF,[],[],,6.0, Excellent,60500000.0,0.0
7.0,"['Kashmir Sapphire', ' Diamond', ' Platinum ']",[' Triangle-cut'],[8.98 1.3 ], D-E-F, VS,[' Cushion-cut'],[' Kashmir Sapphire'], Fine,7.5, Excellent,52750000.0,5.0
8.0,"['Diamond', ' White Gold ']","[' Oval, Tapered Baguette-cut']",[7.82 0.35], D-E-F, VS,[],[],,6.31, Very Good,42500000.0,6.0
9.0,"['Diamond', ' Platinum ']","[' Full-cut', ' Cushion Brilliant']",[5.25 0.24], D-E-F, VS,[],[],,6.8, Very Good,39900000.0,5.0
10.0,"['Diamond', ' Platinum ']",[' Emerald'],[18.4  5. ], J-K-L, VS,[],[],,13.0, Very Good,38837500.0,5.0
11.0,"['Diamond', ' Platinum ']",[' Marquise Brilliant-cut'],[7.43 0.2 ], D-E-F, IF,[],[],,5.4, Excellent,38000000.0,6.0
12.0,"['Fancy Intense Purplish-Pink Diamond', ' Diamond', ' Platinum ']","[' Cushion, Bullet', ' Cushion']",[5.04 0.35], G-H-I, I,[],[],,6.81, Very Good,37250000.0,6.0
13.0,"['Fancy Yellow Diamond', ' Diamond', ' Platinum', ' Gold ']","[' Cut-Cornered Rectangular Modified Brilliant, Trapeze-cut']",[18.41  3.05], D-E-F, VVS,[],[],,14.56, Very Good,36500000.0,6.0
14.0,"['Diamond', ' Platinum', ' Gold ']","[' Pear, Tapered Baguette-cut']",[11.3  11.85], G-H-I, VS,[],[],,28.6, Good,36500000.0,4.0
15.0,"['Fancy Light Brownish-Pink Diamond', ' Diamond', ' Platinum ']","[' Marquise, Triangle']",[11.74  1.33  1.26], G-H-I, SI,[],[],,10.5, Very Good,35850000.0,3.0
16.0,"['Fancy Light Yellow Diamond', ' Diamond', ' Gold ']","[' Triangle-shaped', ' Cut-Cornered Rectangular Modified Brilliant']",[22.08  2.2 ],, VS,[],[],,11.5, Very Good,32450000.0,7.0
17.0,"['Colombian Emerald', ' Diamond', ' Platinum ']","[' Marquise-shape, Pear-shape']",[9.95 0.8  0.75], D-E-F, VVS,[' Emerald-cut'],[' Emerald'], Fine,12.8, Excellent,30250000.0,5.0
18.0,"['Diamond', ' Platinum ']","[' Baguette-Cut', ' Pear']",[6.26 0.8 ], G-H-I, VS,[],[],,6.9, Very Good,30000000.0,5.0
19.0,"['Edwardian Fancy Gray-Blue Diamond', ' Diamond', ' Platinum ']","[' Single-cut', ' Circular Brilliant']",[1.36 0.05], G-H-I, SI,[],[],,3.4, Good,27500000.0,5.0
20.0,"['Diamond', ' Platinum ']","[' Emerald-cut, Kite-shaped']",[10.75  0.6 ], G-H-I, VS,[],[],,8.07, Excellent,27500000.0,7.0
21.0,"['Art Deco Fancy Intense Yellow Diamond', ' Sapphire', ' Platinum ']",[' European-cut'],[5.5 1.2],, VVS,[' Shield-cut'],[' Sapphire'], Good,4.98, Very Good,26650000.0,5.0
22.0,"['Kashmir Sapphire', ' Diamond', ' Platinum', ' Gold ']","[' Full-cut, Marquise-cut']",[4.5 1.5 0.5], G-H-I, VS,"[' Square Cushion', ' Square Cushion']","[' Natural Corundum', ' Natural Corundum']",,11.4, Very Good,25000000.0,6.0
23.0,"['Paraiba Tourmaline', ' Diamond', ' Platinum ']",[' Triangle'],[5.39 1.  ], D-E-F, VS,"[' Oval', ' Oval']","[' Paraiba Tourmaline', ' Paraiba Tourmaline']",,8.49, Excellent,25000000.0,6.0
24.0,"['Diamond', ' Platinum ']",[' Emerald-cut'],[6.49 0.8 ], D-E-F, VVS,[],[],,7.06, Excellent,24500000.0,6.0
25.0,"['Diamond', ' Platinum ']",[' Marquise-cut'],[10.95], J-K-L, VS,[],[],,6.9, Very Good,24500000.0,5.0
26.0,"['Diamond', ' Platinum', ' Gold ']",[' Pear'],[11.3  11.88], G-H-I, VS,[],[],,7.18, Good,23900000.0,4.0
27.0,"['Diamond', ' Platinum', ' Gold ']","[' Square Modified Brilliant, Modified Triangular Brilliant']",[10.1   1.26  1.01], G-H-I, SI,[],[],,23.12, Very Good,20900000.0,0.0
28.0,"['Fancy Intense Yellow Diamond', ' Diamond', ' Gold ']","[' Full-cut', ' Oval']",[12.75  0.33], G-H-I, VS,[],[],,5.9, Very Good,20625000.0,6.0
29.0,"['Diamond', ' Platinum ']","[' Full-cut', ' Cushion']",[7.24 1.  ], G-H-I, VS,[],[],,6.5, Very Good,20000000.0,5.0
30.0,"['Fancy Intense Yellow Diamond', ' Diamond', ' Gold ']","[' Cut-cornered Square Modified Brilliant, Pear-shaped, Full-cut']",[7.05 1.91 2.73],, VS,[],[],,10.33, Excellent,18850000.0,6.0
31.0,"['Diamond', ' Platinum ']",[' Rectangular Modified Brilliant and Triangle-cut'],[10.58  2.  ], G-H-I, SI,[],[],,13.5, Very Good,18500000.0,5.0
